From	To
10299	MARH6_HUMAN
81037	CLP1L_HUMAN
10468	FST_HUMAN
55521	TRI36_HUMAN
9794	MAML1_HUMAN
1501	B4DJU1_HUMAN
1501	B4DRK2_HUMAN
1501	CTND2_HUMAN
1501	D6R9A8_HUMAN
1501	E7EPC8_HUMAN
51265	B4DX41_HUMAN
51265	CDKL3_HUMAN
23517	Q3MHC9_HUMAN
23517	SK2L2_HUMAN
91975	ZN300_HUMAN
84636	GP174_HUMAN
1843	B4DU40_HUMAN
1843	DUS1_HUMAN
9499	B4DT68_HUMAN
9499	MYOTI_HUMAN
3950	LECT2_HUMAN
1436	A2VDG3_HUMAN
1436	CSF1R_HUMAN
64946	CENPH_HUMAN
8852	AKAP4_HUMAN
1350	COX7C_HUMAN
50805	IRX4_HUMAN
9337	B0AZS3_HUMAN
9337	B7Z8R1_HUMAN
9337	CNOT8_HUMAN
7015	TERT_HUMAN
10758	CIKS_HUMAN
23270	TSYL4_HUMAN
2941	GSTA4_HUMAN
2941	Q6P4G1_HUMAN
2295	FOXF2_HUMAN
51660	MPC1_HUMAN
51660	Q5TI65_HUMAN
5698	PSB9_HUMAN
25844	Q5JTD5_HUMAN
25844	YIPF3_HUMAN
9210	BMP15_HUMAN
8350	H31_HUMAN
8346	B2R4S9_HUMAN
8346	H2B1C_HUMAN
3018	H2B1B_HUMAN
81697	OR2B2_HUMAN
26716	OR2H1_HUMAN
26716	Q8IU63_HUMAN
57176	B4E0K6_HUMAN
57176	SYVM_HUMAN
3303	A8K5I0_HUMAN
3303	B3KTT5_HUMAN
3303	HSP71_HUMAN
7917	BAG6_HUMAN
221527	ZBT12_HUMAN
9278	ZBT22_HUMAN
25803	SPDEF_HUMAN
51805	COQ3_HUMAN
9749	PHAR2_HUMAN
51256	TBCD7_HUMAN
51522	TM14C_HUMAN
10799	RPP40_HUMAN
22828	B7Z3A4_HUMAN
22828	B7Z876_HUMAN
22828	B7Z888_HUMAN
22828	SCAF8_HUMAN
9590	AKA12_HUMAN
9590	Q86TJ9_HUMAN
9774	BCLF1_HUMAN
9774	E9PK91_HUMAN
285755	E7EX15_HUMAN
285755	PPIL6_HUMAN
9474	A9UGY9_HUMAN
9474	ATG5_HUMAN
9474	Q7Z3H3_HUMAN
